DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign
San Joaquin and Tulare,5,da.sq.mi + elev.ft + precip.in,0.8086615341295453,0.8010079954947271,0.2727426569870144,105.65851597726405,7.35483826622355e-27,4,-7.4048348706708556,24.80966974134171,36.656909003676816,5.579141770525213,75,1
San Joaquin and Tulare,5,da.sq.mi + relief.ft + precip.in,0.8181208932817916,0.8108457290130633,0.2659153020672552,112.45394097813201,1.1048115886029529e-27,4,-5.402117134735307,20.804234269470612,32.65147353180572,5.303321090513969,75,1
San Joaquin and Tulare,5,da.sq.mi + slope.pct + precip.in,0.7766215990840348,0.7676864630473962,0.2946948267410223,86.91771405600215,2.396280998437491e-24,4,-13.520353881879057,37.040707763758114,48.88794702609322,6.513378068094087,75,1
San Joaquin and Tulare,5,da.sq.mi + elev.ft + slope.pct + precip.in,0.8088825274664577,0.7985518532754554,0.2744207151125857,78.29910347680604,7.915449241022714e-26,5,-7.3591865389127795,26.71837307782556,40.93506019262769,5.572697937334817,74,0
San Joaquin and Tulare,5,da.sq.mi + relief.ft + slope.pct + precip.in,0.8189366193361398,0.8091494095705258,0.2671049936832181,83.67416648341943,1.0846423202341526e-26,5,-5.224561546611591,22.449123093223182,36.665810208025306,5.279535746137887,74,0
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,0.7032717932483535,0.6954631562285734,0.3374078439813461,90.0633223783979,8.905034677194433e-21,3,-24.73635488678523,57.47270977357046,66.95050118343855,8.65214804169067,76,1
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,0.795555591948604,0.7873778156265482,0.28192886395643324,97.28263046311916,8.752344585484366e-26,4,-10.021795303591237,30.043590607182473,41.89082986951758,5.961291324882378,75,1
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,0.7485202119898993,0.7384610204694952,0.312682421070152,74.41156781552509,2.0027455427861814e-22,4,-18.200923052465882,46.401846104931764,58.24908536726687,7.332772233471887,75,1
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,0.7643932128840899,0.7549689413994535,0.30265358438200124,81.10899756338895,1.754706659988526e-23,4,-15.62558777754891,41.25117555509782,53.098414817432925,6.869939410445486,75,1
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.8013662624015623,0.7906293036124575,0.2797648848153034,74.63624273334676,3.2688864596643377e-25,5,-8.88287280639722,29.76574561279444,43.98243272759657,5.791860917403281,74,0
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.7668259324382312,0.7542219287862437,0.30311457490789523,60.83986910915501,1.1806223369205043e-22,5,-15.215616747165699,42.431233494331394,56.64792060913352,6.7990049685979574,74,0
Sacramento River,4,da.sq.mi + precip.in,0.720039664889335,0.7132113640329774,0.3644046894546124,105.44931748561164,2.1426769232524006e-23,3,-33.275994130466266,74.55198826093253,84.3225932868938,10.888843771114026,82,1
Sacramento River,4,da.sq.mi + elev.ft + precip.in,0.7967712100819324,0.7892442178627448,0.3123868452282391,105.85519246995044,6.103350651266799e-28,4,-19.662583490088196,49.32516698017639,61.53842326262797,7.904428826803796,81,1
Sacramento River,4,da.sq.mi + relief.ft + precip.in,0.7258818947390114,0.7157293723219378,0.3628014233517492,71.49768943314866,1.0691645893169613e-22,4,-32.37971680694994,74.75943361389989,86.97268989635147,10.661614695670467,81,0
Sacramento River,4,da.sq.mi + slope.pct + precip.in,0.7507775284114343,0.7415470665007466,0.34593437624845236,81.33694019604117,2.298449614385415e-24,4,-28.333160190686,66.666320381372,78.87957666382358,9.69331800630287,81,1
Sacramento River,4,da.sq.mi + elev.ft + slope.pct + precip.in,0.827373113285574,0.8187417689498526,0.2897022422875035,95.85680759617522,1.0399854462037713e-29,5,-12.726589987860244,37.45317997572049,52.10908751466239,6.71419113491259,80,1
Sacramento River,4,da.sq.mi + relief.ft + slope.pct + precip.in,0.7508866844843896,0.7384310187086089,0.3480135138194018,60.28474896496138,2.227080762129267e-23,5,-28.31454168768125,68.6290833753625,83.2849909143044,9.689072464074158,80,0
Sacramento River,4,da.sq.mi + precip.in.8,0.6780039506009223,0.670150388420457,0.39080577839709296,86.33075476086087,6.635478959669509e-21,3,-39.22137623800338,86.44275247600676,96.21335750196803,12.523790827141733,82,0
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,0.7475061331245156,0.7381545084254236,0.34819741157495576,79.9332904363767,3.889502797041785e-24,4,-28.887402735591632,67.77480547118327,79.98806175363484,9.82055643162743,81,1
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,0.6961399022308913,0.6848858245357392,0.3819767754675018,61.856681736857176,6.793123437892306e-21,4,-36.7575710936486,83.5151421872972,95.72839846974878,11.818406816720573,81,1
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,0.678487745549063,0.6665798842731023,0.3929152516217527,56.978136528914845,6.605427517515857e-20,4,-39.15747251198517,88.31494502397034,100.52820130642192,12.504973991515804,81,0
Sacramento River,4,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.768892700392705,0.7573373354123402,0.33520035434934015,66.5398887615607,1.133361150653774e-24,5,-25.12594636923217,62.25189273846434,76.90780027740624,8.988742204473855,80,0
Sacramento River,4,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.6983105073605439,0.6832260327285711,0.3829814418682204,46.293326376804444,4.403440695314206e-20,5,-36.452885516850834,84.90577103370167,99.56167857264357,11.733982785236886,80,0
North Coast,1,da.sq.mi + precip.in,0.8540397856605015,0.8485318530439167,0.27133019163293526,155.05632423478016,7.115641343506887e-23,3,-4.871432392401243,17.742864784802485,25.844271547743084,3.901863863252964,53,1
North Coast,1,da.sq.mi + elev.ft + precip.in,0.9265143843201786,0.9222748295694198,0.19436510929736162,218.54049276149146,1.8683137014562755e-29,4,14.34341075212042,-18.68682150424084,-8.560063050565091,1.9644453770331167,52,1
North Coast,1,da.sq.mi + relief.ft + precip.in,0.9013028281491042,0.8956087605423217,0.22525243395422148,158.28804474950823,3.947865120339069e-26,4,6.084345671943113,-2.168691343886225,7.958067109789523,2.6384102681196477,52,1
North Coast,1,da.sq.mi + slope.pct + precip.in,0.8667096525382653,0.8590198248000882,0.26176795992254964,112.70859140776174,9.573289230386832e-23,4,-2.3289128988873644,14.657825797774729,24.784584251450475,3.5631681717847044,52,1
North Coast,1,da.sq.mi + elev.ft + slope.pct + precip.in,0.932103265357576,0.9267780312679742,0.18865058931703535,175.0351721021266,4.0369065257457293e-29,5,16.55825945272519,-21.116518905450377,-8.96440876103948,1.8150412873329014,51,1
North Coast,1,da.sq.mi + relief.ft + slope.pct + precip.in,0.9014380437990521,0.8937076942930955,0.22729421341421263,116.6102571564766,5.2427298893272505e-25,5,6.122732121573252,-0.24546424314650395,11.906645901264394,2.6347956320308676,51,0
North Coast,1,da.sq.mi + precip.in.8,0.8403947670811802,0.8343719281031116,0.2837294645622643,139.53465635414807,7.598867065719922e-22,3,-7.373775372373239,22.747550744746476,30.848957507687075,4.266627680221827,53,1
North Coast,1,da.sq.mi + elev.ft.8 + precip.in.8,0.9024192224039526,0.8967895621580267,0.22397486092888946,160.29727958397373,2.938792069041332e-26,4,6.402867200427467,-2.8057344008549343,7.321024052820814,2.6085663930619996,52,1
North Coast,1,da.sq.mi + relief.ft.8 + precip.in.8,0.9045301296464893,0.8990222525107098,0.22153905799292514,164.22481971694927,1.666130614132642e-26,4,7.01522213617786,-4.0304442723557194,6.096314181320029,2.552136819252418,52,1
North Coast,1,da.sq.mi + slope.pct.8 + precip.in.8,0.8475851084326516,0.8387919416114584,0.27991800809874184,96.39133723584234,3.0929276589703273e-21,4,-6.083056011961061,22.16611202392212,32.29287047759787,4.0744127454143,52,0
North Coast,1,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.90570433241805,0.8983085937841716,0.22232054163950882,122.46299893146521,1.7040196087801792e-25,5,7.36173497056372,-2.7234699411274406,9.428640203283457,2.520747584979113,51,0
North Coast,1,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.9054877383660336,0.8980750119633696,0.22257572667751227,122.15313086971794,1.806274046716543e-25,5,7.297493641907858,-2.5949872838157155,9.557122860595182,2.5265376594071554,51,0
